epochs,iter,train_acc_history,train_auc_history,train_loss_history,train_sensitivity_history,train_specificity_history,val_acc_history,val_auc_history,val_loss_history,val_sensitivity_history,val_specificity_history,backbone,Usando OCT,Dual Image,optim,lr,frac_val,k_fold,model_id
37,1,0.7221297836938436,0.5,352.5030842423439,0.0,1.0,0.7070063694267517,0.5,93.78512382507324,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
38,1,0.7221297836938436,0.5,352.3718361854553,0.0,1.0,0.7070063694267517,0.5,137.33903574943542,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
39,1,0.7221297836938436,0.5,355.61993646621704,0.0,1.0,0.7070063694267517,0.5,93.71967250108719,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
40,1,0.7221297836938436,0.5,355.2413435578346,0.0,1.0,0.7070063694267517,0.5,107.54697370529175,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
41,1,0.7221297836938436,0.5,356.20324170589447,0.0,1.0,0.7070063694267517,0.5,94.11458486318588,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
42,1,0.7221297836938436,0.5,354.95486456155777,0.0,1.0,0.7070063694267517,0.5,94.80077862739563,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
43,1,0.7221297836938436,0.5,356.24186980724335,0.0,1.0,0.7070063694267517,0.5,93.78398522734642,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
44,1,0.7221297836938436,0.5,355.23196309804916,0.0,1.0,0.7070063694267517,0.5,94.48770928382874,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
45,1,0.7221297836938436,0.5,354.54515278339386,0.0,1.0,0.7070063694267517,0.5,94.30146503448486,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
46,1,0.7221297836938436,0.5,356.29127991199493,0.0,1.0,0.7070063694267517,0.5,96.50726366043091,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
47,1,0.7221297836938436,0.5,355.46481573581696,0.0,1.0,0.7070063694267517,0.5,93.91922920942307,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
